iter	Passed	Remaining
723	26066	9936
724	26102	9900
725	26138	9865
726	26175	9829
727	26212	9793
728	26247	9757
729	26281	9720
730	26319	9685
731	26357	9649
732	26394	9614
733	26430	9578
734	26467	9542
735	26503	9506
736	26539	9470
737	26576	9435
738	26616	9400
739	26652	9364
740	26690	9329
741	26727	9293
742	26765	9258
743	26800	9221
744	26836	9185
745	26871	9149
746	26907	9113
747	26944	9077
748	26981	9041
749	27017	9005
750	27054	8970
751	27091	8934
752	27126	8897
753	27161	8861
754	27196	8825
755	27232	8789
756	27268	8753
757	27302	8716
758	27339	8680
759	27373	8644
760	27408	8607
761	27443	8571
762	27479	8535
763	27515	8499
764	27552	8463
765	27589	8428
766	27625	8391
767	27659	8355
768	27693	8318
769	27729	8282
770	27766	8247
771	27802	8210
772	27837	8174
773	27875	8139
774	27912	8103
775	27950	8068
776	27987	8032
777	28022	7996
778	28056	7959
779	28092	7923
780	28129	7887
781	28166	7851
782	28202	7815
783	28239	7780
784	28277	7744
785	28313	7708
786	28351	7673
787	28387	7637
788	28424	7601
789	28461	7565
790	28497	7529
791	28531	7493
792	28567	7457
793	28606	7421
794	28644	7386
795	28678	7349
796	28714	7313
797	28750	7277
798	28784	7241
799	28820	7205
800	28855	7168
801	28890	7132
802	28925	7096
803	28959	7059
804	28994	7023
805	29030	6987
806	29067	6951
807	29103	6915
808	29138	6879
809	29172	6842
810	29208	6806
811	29245	6771
812	29282	6735
813	29319	6699
814	29353	6663
815	29388	6626
816	29425	6590
817	29460	6554
818	29495	6518
819	29530	6482
820	29566	6446
821	29600	6409
822	29635	6373
823	29670	6337
824	29706	6301
825	29740	6265
826	29776	6228
827	29812	6192
828	29848	6156
829	29885	6121
830	29924	6085
831	29958	6049
832	29993	6013
833	30028	5976
834	30064	5940
835	30099	5904
836	30137	5869
837	30172	5832
838	30206	5796
839	30241	5760
840	30277	5724
841	30313	5688
842	30350	5652
843	30385	5616
844	30420	5580
845	30455	5543
846	30492	5508
847	30528	5472
848	30564	5436
849	30602	5400
850	30638	5364
851	30673	5328
852	30708	5292
853	30743	5255
854	30779	5219
855	30815	5183
856	30851	5147
857	30887	5111
858	30923	5075
859	30961	5040
860	30996	5004
861	31031	4967
862	31066	4931
863	31102	4895
864	31138	4859
865	31173	4823
866	31208	4787
867	31245	4751
868	31283	4715
869	31319	4679
870	31357	4644
871	31395	4608
872	31431	4572
873	31468	4536
874	31505	4500
875	31542	4464
876	31581	4429
877	31616	4393
878	31652	4357
879	31687	4321
880	31723	4284
881	31757	4248
882	31794	4212
883	31830	4176
884	31866	4140
885	31903	4104
886	31939	4068
887	31976	4033
888	32011	3996
889	32049	3961
890	32086	3925
